task_id,task_description,priority,mood,days_until_deadline,workload_hours,estimated_duration
1,Database migration,High,Stressed,1,4.1,18.1
2,Bug fix,Critical,Happy,17,2.2,13.5
3,Research,Low,Happy,9,6.9,5.4
4,Client call,Critical,Tired,21,3.3,15.5
5,API development,Medium,Tired,13,2.6,11.4
6,Research,Low,Calm,21,8.5,8.5
7,Unit testing,Medium,Stressed,19,7.5,12.6
8,Database migration,Critical,Stressed,21,5.3,19.4
9,Performance optimization,Medium,Calm,19,5.7,6.2
10,Design meeting,Low,Calm,25,2.0,5.6
11,Database migration,Medium,Anxious,25,7.8,9.8
12,Client call,Low,Happy,22,4.6,9.3
13,Client call,Low,Tired,17,6.7,10.4
14,API development,Low,Calm,23,2.0,6.3
15,Unit testing,Low,Calm,23,8.0,8.8
16,Bug fix,Low,Tired,10,4.5,10.6
17,API development,Low,Tired,10,3.2,10.3
18,API development,Medium,Anxious,4,5.3,14.4
19,Design meeting,Low,Happy,8,4.8,5.6
20,Deploy production,Low,Happy,22,8.1,5.9
21,Unit testing,High,Tired,20,5.2,11.6
22,Write documentation,Medium,Calm,20,8.7,10.5
23,API development,Medium,Stressed,18,6.7,12.1
24,Sprint planning,Low,Happy,14,7.8,5.9
25,Debugging,Low,Happy,18,6.0,5.5
26,Deploy production,Low,Motivated,28,8.5,9.4
27,Write documentation,Low,Happy,14,3.7,7.2
28,Sprint planning,Low,Stressed,20,6.2,13.0
29,Unit testing,Low,Stressed,21,5.2,10.8
30,Code review,Low,Stressed,24,8.8,10.8
31,Sprint planning,Low,Happy,15,9.0,6.8
32,Performance optimization,Medium,Calm,22,6.0,7.7
33,Deploy production,Low,Happy,4,3.4,5.8
34,Research,Low,Motivated,13,6.9,7.6
35,Sprint planning,Medium,Stressed,27,2.7,10.1
36,UI/UX design,Medium,Calm,23,9.3,10.2
37,Code review,Low,Motivated,8,5.1,8.2
38,Client call,High,Tired,18,5.9,12.2
39,Client call,Medium,Calm,12,4.6,11.9
40,Performance optimization,Low,Stressed,23,4.2,8.4
41,Sprint planning,High,Stressed,14,7.5,16.0
42,Sprint planning,Critical,Tired,2,5.7,20.0
43,Debugging,Low,Anxious,18,6.1,11.0
44,Debugging,Low,Tired,24,4.0,7.1
45,Debugging,High,Calm,2,7.7,19.0
46,Design meeting,High,Tired,11,7.9,13.3
47,Sprint planning,Low,Calm,9,5.6,8.1
48,Database migration,Low,Happy,12,8.5,8.9
49,Bug fix,Low,Calm,17,5.8,6.3
50,UI/UX design,Medium,Anxious,15,7.6,12.8
51,Design meeting,Medium,Happy,25,2.8,6.4
52,Unit testing,Low,Tired,17,6.7,11.4
53,Design meeting,Medium,Stressed,26,5.5,11.0
54,Database migration,High,Calm,29,6.3,11.3
55,Unit testing,Low,Happy,26,6.2,6.7
56,UI/UX design,Low,Calm,18,6.3,8.4
57,Database migration,High,Motivated,22,7.2,13.9
58,Write documentation,High,Stressed,6,4.9,15.3
59,Bug fix,Medium,Tired,17,7.1,13.1
60,UI/UX design,Medium,Motivated,23,8.5,12.2
61,Sprint planning,Low,Anxious,24,3.2,8.9
62,Debugging,Medium,Stressed,18,4.4,11.1
63,Write documentation,Medium,Stressed,8,4.5,9.3
64,Performance optimization,Low,Happy,9,3.8,8.6
65,UI/UX design,Low,Anxious,6,5.1,10.7
66,Performance optimization,Low,Anxious,5,8.1,10.1
67,Unit testing,Low,Calm,12,8.9,5.7
